stim1,stim2,stim3,correctAns,difficulty,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction_text.started,start_key.started,instructions.stopped,start_key.keys,start_key.rt,start_key.duration,fixation.started,fixation_cross.started,fixation.stopped,time_condition,odd_out_routine.started,word_one.started,word_two.started,word_three.started,key_resp_2.started,odd_out_routine.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,fixation_cross.stopped,instruction.started,text.started,text.stopped,instruction.stopped,cc.started,text_countdown.started,text_countdown.stopped,cc.stopped,fixation_2.started,fixation_cross_2.started,fixation_2.stopped,odd_out_routine_2.started,word_one_2.started,word_two_2.started,word_three_2.started,key_resp_3.started,odd_out_routine_2.stopped,trials.key_resp_3.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,fixation_cross_2.stopped,EndInstruction.started,text_2.started,text_2.stopped,EndInstruction.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
fish,bird,shark,2,medium,9,9,0,2,1.6640622869999788,None,,,,0,9,9,7,,,,,18.283108168998297,,,,,,,,,18.275355975998536,18.283108168998297,18.775643019998824,Pressure,18.784930475998408,18.792722197998955,18.792722197998955,18.792722197998955,18.792722197998955,20.45879704899926,2,1.6640622869999788,None,,,,,,,,,,,,,,,,,,,,,,,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
apple,banana,pencil,3,easy,10,10,0,3,1.1962355249997927,None,,,,0,10,10,3,,,,,20.46450580799865,,,,,,,,,20.45908695899925,20.46450580799865,20.94843120099904,Pressure,20.95969514799799,20.967553054997552,20.967553054997552,20.967553054997552,20.967553054997552,22.165854373997718,3,1.1962355249997927,None,20.967553054997552,,,,,,,,,,,,,,,,,,,,,,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
trumpet ,flute,violin,3,hard,11,11,0,None,,,,,,0,11,11,8,,,,,22.17400738300057,,,,,,,,,22.16603448800015,22.17400738300057,22.658012517000316,Pressure,22.666740896998817,22.67454815399833,22.67454815399833,22.67454815399833,22.67454815399833,24.650200198000675,None,,,22.67454815399833,,,,,,,,,,,,,,,,,,,,,,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
octopus ,penguin,squid,2,hard,12,12,0,2,1.2878080709997448,None,,,,0,12,12,14,,,,,24.658951662000618,,,,,,,,,24.65067204499792,24.658951662000618,25.14229478699781,Pressure,25.15163297699837,25.166395905998797,25.166395905998797,25.166395905998797,25.166395905998797,26.45852232999823,2,1.2878080709997448,None,25.15800992000004,,,,,,,,,,,,,,,,,,,,,,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
cat,dog,lion,2,hard,13,13,0,2,1.0474850659993535,None,,,,0,13,13,2,,,,,26.466570704000333,,,,,,,,,26.45870238399948,26.466570704000333,26.957963670000026,Pressure,26.96613439599969,26.974129351998272,26.974129351998272,26.974129351998272,26.974129351998272,28.025388453999767,2,1.0474850659993535,None,26.974129351998272,,,,,,,,,,,,,,,,,,,,,,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
bicycle,apple ,train,2,easy,14,14,0,3,1.4995471830006863,None,,,,0,14,14,6,,,,,28.033518035997986,,,,,,,,,28.02556207899761,28.033518035997986,28.524597175000963,Pressure,28.53336179699909,28.54105846099992,28.54105846099992,28.54105846099992,28.54105846099992,30.04282424899793,3,1.4995471830006863,None,28.54105846099992,,,,,,,,,,,,,,,,,,,,,,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.04302519200064,30.057032224998693,35.05804547799926,35.04148372599957,,,,,,,,,,,,,,,,,,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.04156020099981,35.05804547799926,40.06607861399971,40.04213148399867,,,,,,,,,,,,,,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
rose,daisy,chair,3,medium,0,0,0,,,,3,2.829299850996904,None,,,,,0,0,0,1,40.06607861399971,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,40.05881949399918,40.06607861399971,40.54718443599995,40.55598242999986,40.56460128099934,40.56460128099934,40.56460128099934,40.56460128099934,43.39945343399813,3,2.829299850996904,None,,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
square,rectangle ,triangle,3,medium,1,1,0,,,,3,4.166015504000825,None,,,,,0,1,1,13,43.41006729699802,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,43.40019043799839,43.41006729699802,43.89837488500052,43.91003428800104,43.917400860998896,43.917400860998896,43.917400860998896,43.917400860998896,48.093168341998535,3,4.166015504000825,None,43.917400860998896,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
octopus ,penguin,squid,2,hard,2,2,0,,,,2,6.006482812001195,None,,,,,0,2,2,14,48.10522270900037,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,48.09359001199846,48.10522270900037,48.5922868359994,48.60110070399969,48.608623104999424,48.608623104999424,48.608623104999424,48.608623104999424,54.624479870999494,2,6.006482812001195,None,48.608623104999424,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
pluto,earth,mars,1,hard,3,3,0,,,,1,1.5906419250022736,None,,,,,0,3,3,5,54.63274425800046,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,54.62466867100011,54.63274425800046,55.124654088998795,55.12968016200102,55.13702076299887,55.13702076299887,55.13702076299887,55.13702076299887,56.73231742899952,1,1.5906419250022736,None,,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
cheetah,dolphin,leopard,2,hard,4,4,0,,,,2,2.396246980999422,None,,,,,0,4,4,11,56.74314731100094,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,56.732503066999925,56.74314731100094,57.23167036999803,57.2428125439983,57.25042163699982,57.25042163699982,57.25042163699982,57.25042163699982,59.64895657899979,2,2.396246980999422,None,57.25042163699982,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
sofa,table,lamp,3,medium,5,5,0,,,,3,2.769284204001451,None,,,,,0,5,5,4,59.656889352998405,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,59.64914577300078,59.656889352998405,60.14217708299839,60.150143693001155,60.15827677099878,60.15827677099878,60.15827677099878,60.15827677099878,62.93237063400011,3,2.769284204001451,None,60.15827677099878,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
sunflower,winter,rain,1,easy,6,6,0,,,,1,2.98318288000155,None,,,,,0,6,6,9,62.944057605000125,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,62.93257035100032,62.944057605000125,63.4301231419995,63.44154234999951,63.44840160199965,63.44840160199965,63.44840160199965,63.44840160199965,66.44196362100047,1,2.98318288000155,None,63.44840160199965,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
bicycle,apple ,train,2,easy,7,7,0,,,,2,4.360442065000825,None,,,,,0,7,7,6,66.45112532100029,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,66.44228872299936,66.45112532100029,66.94161487399833,66.95165580100002,66.95959839100033,66.95959839100033,66.95959839100033,66.95959839100033,71.32485564099989,2,4.360442065000825,None,66.95959839100033,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
dog,car,cat,2,easy,8,8,0,,,,2,2.128873981000652,None,,,,,0,8,8,0,71.33281033000094,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,71.32503973200073,71.33281033000094,71.82404312799918,71.83285818600052,71.84079171999838,71.84079171999838,71.84079171999838,71.84079171999838,73.97522124899842,2,2.128873981000652,None,71.84079171999838,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
apple,banana,pencil,3,easy,9,9,0,,,,3,1.378982697999163,None,,,,,0,9,9,3,73.98355331399944,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,73.97539798100115,73.98355331399944,74.47521436500028,74.48524103700038,74.49269527299839,74.49269527299839,74.49269527299839,74.49269527299839,75.87517451199892,3,1.378982697999163,None,74.49269527299839,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
fish,bird,shark,2,medium,10,10,0,,,,2,2.983052047999081,None,,,,,0,10,10,7,75.88318681300007,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,75.8753742259978,75.88318681300007,76.37534817999767,76.38330529899758,76.39146936999896,76.39146936999896,76.39146936999896,76.39146936999896,79.3816974859983,2,2.983052047999081,None,76.39146936999896,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
car,bus, aeroplane,3,medium,11,11,0,,,,3,4.126993378999032,None,,,,,0,11,11,10,79.39327633200082,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,79.38188337199972,79.39327633200082,79.88080577499932,79.89081403700038,79.89890511900012,79.89890511900012,79.89890511900012,79.89890511900012,84.03198735800106,3,4.126993378999032,None,79.89890511900012,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
sun,book,moon,2,easy,12,12,0,,,,2,1.5951819460024126,None,,,,,0,12,12,12,84.0431891929984,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,84.03216753699962,84.0431891929984,84.5311061350003,84.54215829099849,84.549742160998,84.549742160998,84.549742160998,84.549742160998,86.1475648630003,2,1.5951819460024126,None,84.549742160998,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
trumpet ,flute,violin,3,hard,13,13,0,,,,3,7.3341531949990895,None,,,,,0,13,13,8,86.15658736899786,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,86.14778234099867,86.15658736899786,86.64048237699899,86.6489245039993,86.65675701099826,86.65675701099826,86.65675701099826,86.65675701099826,93.99960786899828,3,7.3341531949990895,None,86.65675701099826,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
cat,dog,lion,2,hard,14,14,0,,,,1,4.62628082500305,None,,,,,0,14,14,2,94.00893176200043,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,93.999822228001,94.00893176200043,94.49189567600115,94.49955986599889,94.50719464199938,94.50719464199938,94.50719464199938,94.50719464199938,99.14246036599798,1,4.62628082500305,None,94.50719464199938,,,,,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.14273564399991,99.156270675001,101.14631942699998,101.14118334700106,288179,001,2024-12-06_11h22.27.933,OddOneOut_Experiment,2024.2.1,None,2024-12-06 11h22.39.561841 +0530,
