stim1,stim2,stim3,correctAns,difficulty,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction_text.started,start_key.started,instructions.stopped,start_key.keys,start_key.rt,start_key.duration,fixation.started,fixation_cross.started,fixation.stopped,time_condition,odd_out_routine.started,word_one.started,word_two.started,word_three.started,key_resp_2.started,odd_out_routine.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,fixation_cross.stopped,word_one.stopped,word_two.stopped,word_three.stopped,key_resp_2.stopped,instruction.started,text.started,text.stopped,instruction.stopped,cc.started,text_countdown.started,cc.stopped,fixation_2.started,fixation_cross_2.started,fixation_2.stopped,odd_out_routine_2.started,word_one_2.started,word_two_2.started,word_three_2.started,key_resp_3.started,odd_out_routine_2.stopped,trials.key_resp_3.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,fixation_cross_2.stopped,EndInstruction.started,text_2.started,text_2.stopped,EndInstruction.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
sofa,table,lamp,3,medium,9,9,0,1,1.2533990140000242,None,,,,0,9,9,4,,,,,20.739000782999938,,,,,,,,,20.733126709998032,20.739000782999938,21.22287037699789,Pressure,21.23446697399777,21.248374866998347,21.248374866998347,21.248374866998347,21.248374866998347,22.506927636997716,1,1.2533990140000242,None,21.240239265996934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
fish,bird,shark,2,medium,10,10,0,None,,,,,,0,10,10,7,,,,,22.516938931999903,,,,,,,,,22.507113266998203,22.516938931999903,22.999874678997003,Pressure,23.0081177510001,23.01603488999899,23.01603488999899,23.01603488999899,23.01603488999899,24.999217930999293,None,,,23.01603488999899,25.005114667997987,25.005114667997987,25.005114667997987,25.005114667997987,,,,,,,,,,,,,,,,,,,,,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
cat,dog,lion,2,hard,11,11,0,3,1.1388214720027463,None,,,,0,11,11,2,,,,,25.005114667997987,,,,,,,,,24.99948640599905,25.005114667997987,25.489798647999123,Pressure,25.497925790998124,25.50445341699742,25.50445341699742,25.50445341699742,25.50445341699742,26.649508751997928,3,1.1388214720027463,None,25.50445341699742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
dog,car,cat,2,easy,12,12,0,2,1.2096460729990213,None,,,,0,12,12,0,,,,,26.657923533999565,,,,,,,,,26.649687244000233,26.657923533999565,27.150129425997875,Pressure,27.156926654999552,27.164705505998427,27.164705505998427,27.164705505998427,27.164705505998427,28.38388733699685,2,1.2096460729990213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
car,bus, aeroplane,3,medium,13,13,0,3,1.2743239189985616,None,,,,0,13,13,10,,,,,28.392295095996815,,,,,,,,,28.384065482998267,28.392295095996815,28.8833038499979,Pressure,28.891711468997528,28.89917874599996,28.89917874599996,28.89917874599996,28.89917874599996,30.183364941996842,3,1.2743239189985616,None,28.89917874599996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
square,rectangle ,triangle,3,medium,14,14,0,1,1.4029961289998027,None,,,,0,14,14,13,,,,,30.191712091000227,,,,,,,,,30.18354574499972,30.191712091000227,30.683510232000117,Pressure,30.692770820998703,30.700438419997226,30.700438419997226,30.700438419997226,30.700438419997226,32.10705105099987,1,1.4029961289998027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.107170400999166,32.118061741999554,37.12447585299742,37.104497992997494,,,,,,,,,,,,,,,,,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.104603543997655,37.12447585299742,42.11600674500005,,,,,,,,,,,,,,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
sun,book,moon,2,easy,0,0,0,,,,2,1.0242789529984293,None,,,,,0,0,0,12,42.14019010999982,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,,42.132639466999535,42.14019010999982,42.615486760998465,42.62296287699792,42.63320451599793,42.63320451599793,42.63320451599793,42.63320451599793,43.66591867799798,2,1.0242789529984293,None,,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
pluto,earth,mars,1,hard,1,1,0,,,,1,1.3683845619998465,None,,,,,0,1,1,5,43.6739535409979,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,,43.66611736199775,43.6739535409979,44.16521642599764,44.17034057899946,44.17777007199766,44.17777007199766,44.17777007199766,44.17777007199766,45.549003025000275,1,1.3683845619998465,None,44.17777007199766,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
cheetah,dolphin,leopard,2,hard,2,2,0,,,,2,1.6626273270012462,None,,,,,0,2,2,11,45.55580759899749,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,,45.54925034199914,45.55580759899749,46.04959911199694,46.0577868879991,46.065336199997546,46.065336199997546,46.065336199997546,46.065336199997546,47.73303236499851,2,1.6626273270012462,None,,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
car,bus, aeroplane,3,medium,3,3,0,,,,3,0.9309577599997283,None,,,,,0,3,3,10,47.74316032199931,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,,47.73331882399725,47.74316032199931,48.233360759997595,48.241880753997975,48.25093105899941,48.25093105899941,48.25093105899941,48.25093105899941,49.190142962997925,3,0.9309577599997283,None,,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
dog,car,cat,2,easy,4,4,0,,,,2,1.5822923560008348,None,,,,,0,4,4,0,49.21461286599879,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,,49.190348703999916,49.21461286599879,49.699592068998754,49.706897356998525,49.71478572599881,49.71478572599881,49.71478572599881,49.71478572599881,51.29989728699729,2,1.5822923560008348,None,,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
sunflower,winter,rain,1,easy,5,5,0,,,,1,0.717023060999054,None,,,,,0,5,5,9,51.30910383599985,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,,51.30013044899897,51.30910383599985,51.79862263099858,51.80544849999933,51.81300964199909,51.81300964199909,51.81300964199909,51.81300964199909,52.53319280099822,1,0.717023060999054,None,51.81300964199909,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
fish,bird,shark,2,medium,6,6,0,,,,2,3.445313661999535,None,,,,,0,6,6,7,52.542821601997275,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,,52.53339131999746,52.542821601997275,53.03153232299883,53.04050649799683,53.048600632999296,53.048600632999296,53.048600632999296,53.048600632999296,56.49957069499942,2,3.445313661999535,None,53.048600632999296,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
rose,daisy,chair,3,medium,7,7,0,,,,3,1.1875432560009358,None,,,,,0,7,7,1,56.50761063399841,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,,56.499795029998495,56.50761063399841,56.99881925399677,57.00642533700011,57.01440706699941,57.01440706699941,57.01440706699941,57.01440706699941,58.20664843299892,3,1.1875432560009358,None,57.01440706699941,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
octopus ,penguin,squid,2,hard,8,8,0,,,,2,2.742360538999492,None,,,,,0,8,8,14,58.23292231499727,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,,58.20683688299687,58.23292231499727,58.715917816,58.72457851799845,58.732518174998404,58.732518174998404,58.732518174998404,58.732518174998404,61.483599808998406,2,2.742360538999492,None,,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
trumpet ,flute,violin,3,hard,9,9,0,,,,3,2.7281447519999347,None,,,,,0,9,9,8,61.4918588569999,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,,61.48380639699826,61.4918588569999,61.98339733499961,61.99240786899827,61.99973234499703,61.99973234499703,61.99973234499703,61.99973234499703,64.7330014759973,3,2.7281447519999347,None,61.99973234499703,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
square,rectangle ,triangle,3,medium,10,10,0,,,,3,4.07169590400008,None,,,,,0,10,10,13,64.74173000999872,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,,64.73320524299925,64.74173000999872,65.2327745659968,65.24125384199942,65.2491658580002,65.2491658580002,65.2491658580002,65.2491658580002,69.32647246799752,3,4.07169590400008,None,65.2491658580002,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
cat,dog,lion,2,hard,11,11,0,,,,2,3.098930552998354,None,,,,,0,11,11,2,69.3370533319976,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,,69.32669744799932,69.3370533319976,69.82242093999957,69.83315766799933,69.8415585929979,69.8415585929979,69.8415585929979,69.8415585929979,72.94962535099694,2,3.098930552998354,None,69.8415585929979,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
sofa,table,lamp,3,medium,12,12,0,,,,2,6.209819087998767,None,,,,,0,12,12,4,72.95937744299954,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,,72.94988913199995,72.95937744299954,73.44849690299816,73.45620563400007,73.46364723599982,73.46364723599982,73.46364723599982,73.46364723599982,79.68333644299855,2,6.209819087998767,None,73.46364723599982,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
bicycle,apple ,train,2,easy,13,13,0,,,,2,3.532336619999114,None,,,,,0,13,13,6,79.69217824899897,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,,79.68352970999695,79.69217824899897,80.18280009799855,80.19116375299927,80.19881993200033,80.19881993200033,80.19881993200033,80.19881993200033,83.73256683799991,2,3.532336619999114,None,80.19881993200033,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
apple,banana,pencil,3,easy,14,14,0,,,,3,1.0212208810007724,None,,,,,0,14,14,3,83.73924066600011,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,,83.73278721799943,83.73924066600011,84.23232719400039,84.24085408399696,84.24889478699697,84.24889478699697,84.24889478699697,84.24889478699697,85.27300764599931,3,1.0212208810007724,None,84.24889478699697,,,,,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.27312960999916,85.28416348599785,87.28223868599889,87.27070042899868,179660,001,2024-12-06_10h48.06.095,OddOneOut_Experiment,2024.2.1,None,2024-12-06 10h48.14.496366 +0530,
